"","authorDisplayName","authorProfileImageUrl","authorChannelUrl","authorChannelId.value","videoId","textDisplay","textOriginal","canRate","viewerRating","likeCount","publishedAt","updatedAt","id","moderationStatus","parentId"
"23","@capnjackgallows3204","https://yt3.ggpht.com/ytc/AIdro_nzetxHxepwsFViVTB2TCG6tvphofw8YFfcKwfaco4B-g=s48-c-k-c0x00ffffff-no-rj","http://www.youtube.com/@capnjackgallows3204","UCSduRRFLDyHVLrr7QZL-kuA","EQNIVVPMsT4","Prove it isn&#39;t true then. Offer something.","Prove it isn't true then. Offer something.",TRUE,"none",0,"2025-05-15T22:52:01Z","2025-05-15T22:52:01Z","UgyXk_WZKHNWQ4a4qq54AaABAg.AI9R8LN30rLAI9lpKujqg9",NA,"UgyXk_WZKHNWQ4a4qq54AaABAg"
"24","@metaldemort","https://yt3.ggpht.com/NL-D8GP5zJozeG4_pR2pYxBAdOeyJKQL1OZQjsa0hTX9ImkKuSxFGV3Pa9nb4QyS8wHeZtl-2A=s48-c-k-c0x00ffffff-no-rj","http://www.youtube.com/@metaldemort","UCdpYm20eWbzi6ex5rnwUmJg","EQNIVVPMsT4","@capnjackgallows3204 come read my comment above and start  learning.","@capnjackgallows3204 come read my comment above and start  learning.",TRUE,"none",0,"2025-05-16T09:01:27Z","2025-05-16T09:01:27Z","UgyXk_WZKHNWQ4a4qq54AaABAg.AI9R8LN30rLAIArZxzTlmj",NA,"UgyXk_WZKHNWQ4a4qq54AaABAg"
"25","@keicbell","https://yt3.ggpht.com/ytc/AIdro_nb0uforcTs3G9jGkooCKdFkEzew0eo9jG_t15QSdKTkls=s48-c-k-c0x00ffffff-no-rj","http://www.youtube.com/@keicbell","UCUjfaejhswPb1ROgC9hIneA","EQNIVVPMsT4","What the actual.......?<br>After 30 years in teaching I&#39;m COMPLETELY DISGUSTED that this is even something we are considering.<br>I think I&#39;m done.","What the actual.......?
After 30 years in teaching I'm COMPLETELY DISGUSTED that this is even something we are considering.
I think I'm done.",TRUE,"none",1,"2025-05-15T19:26:06Z","2025-05-15T19:26:06Z","Ugx5Y0httYhU044QqM94AaABAg",NA,NA
"26","@Richard-e3q9v","https://yt3.ggpht.com/ytc/AIdro_lc0BV45lI1RdCfTaxidVk0oeCjQh7S6czQLHd3OHGV45XTQjUdo78Q-fSrADdKz_RrRA=s48-c-k-c0x00ffffff-no-rj","http://www.youtube.com/@Richard-e3q9v","UCIcHlciZTIgWjVmq9qj21AA","EQNIVVPMsT4","No such thing as trans toddlers!.....leave them alone....","No such thing as trans toddlers!.....leave them alone....",TRUE,"none",0,"2025-05-15T19:19:03Z","2025-05-15T19:19:03Z","UgyAuUuWouLw0yvqtah4AaABAg",NA,NA
"27","@Richard-e3q9v","https://yt3.ggpht.com/ytc/AIdro_lc0BV45lI1RdCfTaxidVk0oeCjQh7S6czQLHd3OHGV45XTQjUdo78Q-fSrADdKz_RrRA=s48-c-k-c0x00ffffff-no-rj","http://www.youtube.com/@Richard-e3q9v","UCIcHlciZTIgWjVmq9qj21AA","EQNIVVPMsT4","Shame on the parents........","Shame on the parents........",TRUE,"none",6,"2025-05-15T19:16:46Z","2025-05-15T19:16:46Z","UgxeLELutZV2iWLs_It4AaABAg",NA,NA
"28","@Richard-e3q9v","https://yt3.ggpht.com/ytc/AIdro_lc0BV45lI1RdCfTaxidVk0oeCjQh7S6czQLHd3OHGV45XTQjUdo78Q-fSrADdKz_RrRA=s48-c-k-c0x00ffffff-no-rj","http://www.youtube.com/@Richard-e3q9v","UCIcHlciZTIgWjVmq9qj21AA","EQNIVVPMsT4","Leave the children alone!","Leave the children alone!",TRUE,"none",5,"2025-05-15T19:15:50Z","2025-05-15T19:15:50Z","UgzU9sQK82rAH4UWstt4AaABAg",NA,NA
"29","@avrilcrisp5725","https://yt3.ggpht.com/ytc/AIdro_ki3euF8s7CfYKSzi-VXltf_-lfFlw2mRN4i3mRhIA=s48-c-k-c0x00ffffff-no-rj","http://www.youtube.com/@avrilcrisp5725","UCzfD_t2_5JLEjQCcfm2Ld2Q","EQNIVVPMsT4","Initially the parents should have to attend a parenting course.","Initially the parents should have to attend a parenting course.",TRUE,"none",2,"2025-05-15T19:05:53Z","2025-05-15T19:05:53Z","UgzCZEoZ8ZImsGRyya54AaABAg",NA,NA
"30","@ribbrascal","https://yt3.ggpht.com/QV31LLtQaOO8jV82aC9ZJYjV-8n_Jch-M8QFS0nFLRzqlUrO4PDj7VGNLi9OmdiKDrtLPQ5L1O8=s48-c-k-c0x00ffffff-no-rj","http://www.youtube.com/@ribbrascal","UCjEoDeiTYM5co8pziiIEZDA","EQNIVVPMsT4","Abhorrent social contagion","Abhorrent social contagion",TRUE,"none",1,"2025-05-15T18:33:34Z","2025-05-15T18:33:34Z","Ugwsm6GwtVi42tCBdr14AaABAg",NA,NA
"31","@Jessie-bd2hq","https://yt3.ggpht.com/ytc/AIdro_khkiJ0bPZ6N5xMSOAprj-0MmYaNSSGABKlqinRBkipDVnD=s48-c-k-c0x00ffffff-no-rj","http://www.youtube.com/@Jessie-bd2hq","UCWp88a89XnJerQEo_AxeBqA","EQNIVVPMsT4","It&#39;s disgusting and it&#39;s child abuse and anyone who does this to innocent kids need to go to jail.","It's disgusting and it's child abuse and anyone who does this to innocent kids need to go to jail.",TRUE,"none",4,"2025-05-15T18:18:08Z","2025-05-15T18:18:08Z","UgwJK6YoJ6EvsR8tK7F4AaABAg",NA,NA
"32","@antonw4671","https://yt3.ggpht.com/ytc/AIdro_lVwICIdXFa1ZqPnlJnTv4SFfuRU1A_AODteTbyCBrRW5xHRe5Uim_mgvN8Z2GT4g_3fA=s48-c-k-c0x00ffffff-no-rj","http://www.youtube.com/@antonw4671","UCCKpor8hvuQaBTf-jlVAN_g","EQNIVVPMsT4","we all know the type of people who like little boys in girls knickers and dresses.","we all know the type of people who like little boys in girls knickers and dresses.",TRUE,"none",0,"2025-05-15T18:16:49Z","2025-05-15T18:16:49Z","UgxsXNSJXILA2DzdxXV4AaABAg",NA,NA
