"","V1","V2","V3","V4"
"225","EacLdpbstRM","2023-08-18T02:17:45Z","WCVB Channel 5 Boston","UC72UssJ1DNQcakZXm-B2-zw"
"226","ch2o14CX-Wk","2023-08-18T22:10:26Z","WSLS 10","UCaFgN6V43Xo1pRjQ4PjlSqw"
"227","nCryRZOYOt0","2023-08-19T04:17:51Z","KSHB 41","UCzhtAFR4aiLOr8IWqA92-5w"
"228","H_JDDS0j2kU","2023-08-20T18:41:38Z","WFXR NEWS","UC8Lg5y3YmAcVbkkuA0meA3w"
"229","_OMtBsdjjMw","2023-08-20T20:53:50Z","WFXR NEWS","UC8Lg5y3YmAcVbkkuA0meA3w"
"230","VHU2ErwOhMc","2023-08-21T11:29:36Z","11Alive","UCzF4Ryn8TKn64md77gS5Q5Q"
"231","Mn362XFZfeg","2023-08-21T17:40:05Z","KPRC 2 Click2Houston","UCKQECjul8nw1KW_JzfBTP1A"
"232","slzeEkVCVTo","2023-08-21T16:25:46Z","11Alive","UCzF4Ryn8TKn64md77gS5Q5Q"
"233","2Z8UAEJh-l0","2023-08-22T05:19:42Z","KCRA 3","UC-BSVXejMFhhml4V_VyoGxg"
"234","SgklMgBpmiE","2023-08-21T21:44:54Z","Atlanta News First ","UCWElIIlFx2JiyI9UVrbrEcw"
"235","WZsE2LcgUW4","2023-08-22T11:40:35Z","WJCL News","UC4DGZQHLsQRK3v8lKTGu_Uw"
"236","EEzjtu8qHSs","2023-08-23T03:55:45Z","WAVY TV 10","UC5DOK_H_fkhHBw_7pl0TViQ"
"237","quKRoNcOSEY","2023-08-23T14:43:30Z","KTLA 5","UCinjnmQEwCddOudyCC1v7qA"
"238","acGXCkljLOU","2023-08-23T23:05:11Z","Atlanta News First ","UCWElIIlFx2JiyI9UVrbrEcw"
"239","8My73CTEIRY","2023-08-23T23:56:28Z","WAVY TV 10","UC5DOK_H_fkhHBw_7pl0TViQ"
"240","3bkeGNDNjC8","2023-08-23T21:29:55Z","WAVY TV 10","UC5DOK_H_fkhHBw_7pl0TViQ"
"241","-1IgL0g_Q3U","2023-08-23T22:59:18Z","13News Now","UCODc8Pa-_WUMaVRp9dvmNmw"
"242","HDvCC3NZG9o","2023-08-24T02:00:09Z","WTKR News 3","UC9AZ9PM8UaMrsto6pCjJ75Q"
"243","518bOMc9jaQ","2023-08-24T20:02:18Z","ESPN","UCiWLfSweyRNmLpgEHekhoAg"
"244","v9xo0ZfZYqY","2023-08-24T23:07:00Z","Forbes Breaking News","UCg40OxZ1GYh3u3jBntB6DLg"
"245","NYit9Dnb7PE","2023-08-25T00:44:03Z","WAVY TV 10","UC5DOK_H_fkhHBw_7pl0TViQ"
"246","KoCGGbJXSjw","2023-08-24T21:54:07Z","13News Now","UCODc8Pa-_WUMaVRp9dvmNmw"
"247","XGSC14kc_Mw","2023-08-25T13:02:16Z","KTVU FOX 2 San Francisco","UCVhtkN7-c8mA8GXEoxS4YQw"
"248","vjEmbpO27o4","2023-08-26T12:35:59Z","ESPN","UCiWLfSweyRNmLpgEHekhoAg"
"249","fMb8c7HVCYQ","2023-08-25T21:00:20Z","General Conference of Seventh-day Adventists","UC2YkfAO05g6yJzTnIT1D5eg"
"250","IARVHVYgCOA","2023-12-22T23:18:59Z","WTHR","UCSFLs1nwzqSC3Tq6cXhJkLg"
"251","7GNSBbo57AU","2023-12-22T23:57:13Z","Reuters","UChqUTb7kYRX8-EiaN3XFrSQ"
"252","yq-3ROkNSjY","2023-12-23T14:55:36Z","WTHR","UCSFLs1nwzqSC3Tq6cXhJkLg"
"253","eCRff5mPUzg","2023-12-23T18:29:21Z","Citizen TV Kenya","UChBQgieUidXV1CmDxSdRm3g"
"254","JjlmvbbG50U","2023-12-26T13:05:44Z","India Today","UCYPvAwZP8pZhSMW8qs7cVCw"
"255","rvLQWMEgie0","2023-12-27T14:38:19Z","GBNews","UC0vn8ISa4LKMunLbzaXLnOQ"
"256","IhkOIFDa7gI","2023-12-27T12:00:10Z","South China Morning Post","UC4SUWizzKc1tptprBkWjX2Q"
"257","MXzz86xH_S0","2023-12-27T21:15:20Z","GBNews","UC0vn8ISa4LKMunLbzaXLnOQ"
"258","JnPlWOwbWFg","2023-12-28T12:45:11Z","WBNS 10TV","UCAKK8dbcSmckr2sWJhv5ezA"
"259","sT336qScqCE","2023-12-28T20:59:07Z","CBN News","UCYI_ychRnL7sJrG6PUSBpQA"
"260","AnvnBiQSdM4","2023-12-28T15:34:21Z","CP24","UCs3o4RhBiP2wcwqkZR2QVLw"
"261","T7yrnPeH5Tk","2023-12-29T16:24:45Z","WBNS 10TV","UCAKK8dbcSmckr2sWJhv5ezA"
"262","BGDoc2X_M3E","2023-12-29T17:13:07Z","NBC4 Columbus","UCDFLiE2iGUvlZMmhemzy6eA"
"263","UkGjPiztJko","2023-12-29T16:30:02Z","WSYX ABC 6","UC6HHWRGuLD11spg9DxKAZlQ"
"264","S2l6F1u4bZI","2023-12-30T04:01:30Z","19 News","UCZ4OZ-SF_Dtw8xlVPavaiDw"
"265","rh65TYUQ-08","2023-12-30T02:17:15Z","Dayton 24/7 Now","UChQiQ_TBQtluXTW98tgXb4A"
"266","ySEtsjYKTOo","2023-12-30T16:51:35Z","Atlanta News First ","UCWElIIlFx2JiyI9UVrbrEcw"
"267","-02LF956kCI","2023-12-31T19:25:17Z","GBNews","UC0vn8ISa4LKMunLbzaXLnOQ"
"268","CX2XmzSJUlg","2023-12-31T09:15:00Z","Times Of India","UCckHqySbfy5FcPP6MD_S-Yg"
"269","utKsVuZOYsI","2023-10-07T16:11:10Z","Geo News","UC_vt34wimdCzdkrzVejwX9g"
"270","diJMtaEtwB4","2023-10-07T19:45:42Z","The Christian Institute","UCeEPehSV8K34BL4PFzcTHkA"
"271","VD9WfFTFSdc","2023-10-08T12:06:08Z","AP Archive","UCHTK-2W11Vh1V4uwofOfR4w"
"272","OnvFYAYjwn0","2023-10-10T23:05:40Z","CBC News","UCuFFtHWoLl5fauMMD5Ww2jA"
"273","URV-aSfvCjk","2023-10-11T03:35:51Z","WAVY TV 10","UC5DOK_H_fkhHBw_7pl0TViQ"
"274","xarNt9Ii45o","2023-10-12T01:43:38Z","ABC11","UCe7cIhm4_RWsThRzBCXtmOQ"
"275","yxtCPBseoSs","2023-10-11T19:58:21Z","WRAL","UCfmkz6A3aTJwJzox2xhAuRw"
"276","f4cA5fsQ-v8","2023-10-13T15:24:33Z","The Christian Institute","UCeEPehSV8K34BL4PFzcTHkA"
"277","LkTvzPQYcc8","2023-10-13T11:31:58Z","WISN 12 News","UC8Tm7Xuz8QekHzjsDxgFNnw"
"278","tosf8ERU5Ik","2023-10-14T09:39:17Z","The Christian Institute","UCeEPehSV8K34BL4PFzcTHkA"
"279","dIkOC96qoy0","2023-10-14T00:36:31Z","WISN 12 News","UC8Tm7Xuz8QekHzjsDxgFNnw"
"280","qLrbHnwijrg","2023-10-14T12:25:30Z","GBNews","UC0vn8ISa4LKMunLbzaXLnOQ"
"281","43D3ATqw08o","2023-10-14T09:40:21Z","The Christian Institute","UCeEPehSV8K34BL4PFzcTHkA"
"282","otvhAHHEhew","2023-10-13T23:43:12Z","KTVB","UCVKYCeuR3OyO-M2rfUXHDyg"
"283","umaSo11m8HA","2023-10-13T22:20:42Z","WGN News","UCDrLGkZTcNCshOLiKi5NtEw"
"284","s7szQbqKyxg","2023-10-14T22:08:52Z","CityNews","UCVKAcQQCO8vv87Gk62SutAg"
"285","w9iIj_7xAYg","2023-10-16T15:32:13Z","TalkTV","UCm0yTweyAa0PwEIp0l3N_gA"
"286","seUti2F1ViY","2023-10-17T07:59:26Z","CNN-News18","UCef1-8eOpJgud7szVPlZQAQ"
"287","gJgWKfjDPaw","2023-10-17T02:48:17Z","WAVY TV 10","UC5DOK_H_fkhHBw_7pl0TViQ"
"288","9EmU_iscLmA","2023-10-17T19:28:30Z","CityNews","UCVKAcQQCO8vv87Gk62SutAg"
"289","JX9euvSybzA","2023-10-17T23:45:29Z","KCRA 3","UC-BSVXejMFhhml4V_VyoGxg"
"290","eHgu0YZZ-nY","2023-10-18T22:54:59Z","WBNS 10TV","UCAKK8dbcSmckr2sWJhv5ezA"
"291","E8bMvg6pIqs","2023-10-19T03:28:36Z","WISN 12 News","UC8Tm7Xuz8QekHzjsDxgFNnw"
"292","LO6y0jcqXi0","2023-10-19T23:51:50Z","CBS LA","UCkH1uDkyuO9sVjSqdqBygOg"
"293","AfE1BJ4Sl7E","2023-10-20T11:25:14Z","FOX 2 St. Louis","UClMs26ViHFMy7MS897Alcxw"
"294","OcmwfzMbaQU","2023-10-20T17:31:28Z","WION","UC_gUM8rL-Lrg6O3adPW9K1g"
"295","KukmeAW8o50","2023-10-20T14:34:32Z","The Christian Institute","UCeEPehSV8K34BL4PFzcTHkA"
"296","kw61iQXlzH4","2023-10-20T13:54:08Z","The Christian Institute","UCeEPehSV8K34BL4PFzcTHkA"
"297","1xkpivwBrTA","2023-10-20T22:32:54Z","KRQE","UCJnpF9oROFPvd7wWbPUDdGA"
"298","MRsjxcGgXAQ","2023-10-20T20:46:51Z","NJ Spotlight News","UCa80ZoUUvKdOpuWN6khnWaA"
"299","6MdSBV6UKJo","2023-10-21T22:19:41Z","CityNews","UCVKAcQQCO8vv87Gk62SutAg"
"300","o7giH-4UIfg","2023-10-22T22:30:30Z","CityNews","UCVKAcQQCO8vv87Gk62SutAg"
"301","4E4DwULUEy4","2023-11-20T09:02:34Z","Sky News Australia","UCO0akufu9MOzyz3nvGIXAAw"
"302","LTD9limsKXg","2023-11-20T17:02:47Z","CBS 8 San Diego","UCMscWako8oDvpdF4pppku-g"
"303","RGmoslCfk2Q","2023-11-20T17:02:20Z","We Are Iowa Local 5 News","UCvoiXGD8UhXXKzbI-tYo_Ig"
"304","MjTAPXkk7Gw","2023-11-21T03:26:26Z","FOX 61","UCyqFmhadLMeSjKC86j4AoAQ"
"305","tSE1AsF4QLw","2023-11-21T11:40:32Z","ABC24 Memphis","UCwG8tm-dZVur_4S1DnGMaeA"
"306","MpGQl0-ZvcI","2023-11-21T21:50:54Z","GBNews","UC0vn8ISa4LKMunLbzaXLnOQ"
"307","S7xFUwVG_FQ","2023-11-22T13:30:19Z","TalkTV","UCm0yTweyAa0PwEIp0l3N_gA"
"308","6XcvC-hfMOI","2023-11-21T17:00:11Z","TMJ4 News","UCKdALw0BErtqmGI2AUtbbhg"
"309","zbOSzbvazcw","2023-11-23T01:09:28Z","12 News","UCu7G08TrwPx_0WH4M7OxjIQ"
"310","q4pekqWGfeU","2023-11-23T10:47:53Z","Kanak News","UC90RW5ZmBBqp4r2QIQxfACA"
"311","Eoly1NFITO4","2023-11-24T04:12:12Z","KXAN","UCgBVz3EzHYKpPS0BITvLRsg"
"312","UMxRjJ0lqag","2023-11-25T03:26:25Z","CBC News: The National","UCKjU3KzdbJE1EFcHVqXC3_g"
"313","X2v6kypk348","2023-11-24T19:17:03Z","AP Archive","UCHTK-2W11Vh1V4uwofOfR4w"
"314","xMer-Ytvxcc","2023-11-24T16:47:07Z","AP Archive","UCHTK-2W11Vh1V4uwofOfR4w"
"315","5XPYY81O9nk","2023-11-26T14:26:39Z","GBNews","UC0vn8ISa4LKMunLbzaXLnOQ"
"316","_XrOonxigfQ","2023-11-26T15:06:23Z","GBNews","UC0vn8ISa4LKMunLbzaXLnOQ"
"317","qpA6RZXUVyw","2023-11-26T16:36:36Z","GBNews","UC0vn8ISa4LKMunLbzaXLnOQ"
"318","g-LtLYdHxXQ","2023-11-27T23:02:50Z","WPLG Local 10","UCgVZ0mrM3liHNhRYC5Mchgg"
"319","TLDVeZq8kO0","TLDVeZq8kO0","TLDVeZq8kO0","TLDVeZq8kO0"
"320","4rpHRKaAZMk","2023-11-28T04:20:24Z","WPTV News - FL Palm Beaches and Treasure Coast","UC0bCUnP5RrkJZUtd3bBz6Kw"
"321","35XuLzp6Ymk","2023-11-28T00:15:07Z","NBC 6 South Florida","UCBgcPSn61UQ4l_-FvcEgLQA"
"322","qg3wsxfd1f8","2023-11-28T23:06:25Z","10 Tampa Bay News","UCMYlXK0jyerVnc3dmz-vjCA"
"323","xEP64FSOAI4","2023-11-29T00:15:02Z","NBC News","UCeY0bbntWzzVIaj2z3QigXg"
"324","aIpg0yTNjhw","2023-11-28T21:23:14Z","KCCI","UCKATGvvbOznaWNZcOBCLGng"
"325","pwLMVN4HzIs","2023-11-29T04:17:43Z","We Are Iowa Local 5 News","UCvoiXGD8UhXXKzbI-tYo_Ig"
"326","YrBfwIklxSY","2023-11-30T22:34:14Z","Scientific American","UC_xYMXx_-mAzheKyEtwtCAQ"
"327","wbgXvWUdVFM","2023-11-30T23:38:45Z","NBC 6 South Florida","UCBgcPSn61UQ4l_-FvcEgLQA"
"328","0gMPDa1b2uA","2023-12-01T11:08:13Z","Sky News Australia","UCO0akufu9MOzyz3nvGIXAAw"
"329","nQsaESAH2C4","2023-12-03T20:54:26Z","GBNews","UC0vn8ISa4LKMunLbzaXLnOQ"
"330","m366tdlhMXg","2023-12-05T03:13:37Z","FOX 47 News","UCa7XAqQh4gzBgPGwTTF0ofg"
"331","TyePojbnazY","2023-12-05T20:52:18Z","Forbes Breaking News","UCg40OxZ1GYh3u3jBntB6DLg"
"332","6VoJSFtR6lQ","2023-12-05T22:51:55Z","Forbes Breaking News","UCg40OxZ1GYh3u3jBntB6DLg"
"333","Fg6avt8U3A0","2023-12-05T23:19:08Z","Forbes Breaking News","UCg40OxZ1GYh3u3jBntB6DLg"
"334","axXyjmjy8Yg","2023-12-05T23:26:42Z","Forbes Breaking News","UCg40OxZ1GYh3u3jBntB6DLg"
"335","xKqPCXmmzGc","2023-12-06T03:15:02Z","Forbes Breaking News","UCg40OxZ1GYh3u3jBntB6DLg"
"336","8o6AMy_mkNg","2023-12-05T23:20:24Z","Sky News Australia","UCO0akufu9MOzyz3nvGIXAAw"
"337","IGqfeCLSbKE","2023-12-06T07:00:05Z","Forbes Breaking News","UCg40OxZ1GYh3u3jBntB6DLg"
"338","0eQwUNG-4kI","2023-12-06T08:45:00Z","Fox News","UCXIJgqnII2ZOINSWNOGFThA"
"339","gvWdopE6YLg","2023-12-06T15:15:03Z","TalkTV","UCm0yTweyAa0PwEIp0l3N_gA"
"340","glyEFbiHbuc","2023-12-06T15:19:22Z","Montreal Gazette","UCiiiXY1ue6nb7iqY8o8f62w"
"341","yTHR2r9d6rA","2023-12-06T21:00:35Z","Forbes Breaking News","UCg40OxZ1GYh3u3jBntB6DLg"
"342","LsZ0i0Kqrc0","2023-12-06T23:30:02Z","KARE 11","UC1JAwKeDUjN2orv5t7LWODQ"
"343","4etSePWpX4M","2023-12-07T13:00:04Z","TalkTV","UCm0yTweyAa0PwEIp0l3N_gA"
"344","4EINadm9XhA","2023-10-23T01:39:43Z","CityNews","UCVKAcQQCO8vv87Gk62SutAg"
"345","Ne1-Tof7t6A","2023-10-23T02:14:35Z","CityNews","UCVKAcQQCO8vv87Gk62SutAg"
"346","HbBgJsJm7bM","2023-10-24T23:44:25Z","ABC News (Australia)","UCVgO39Bk5sMo66-6o6Spn6Q"
"347","mnoWyk9MAxg","2023-10-25T06:30:11Z","The Thaiger","UCfyWB_cTvCBWau8mFcMnJkQ"
"348","keHiz6QqlFM","2023-10-25T10:48:10Z","WUSA9","UCcT6w3xUyVshyR2_2vrMp1w"
"349","HxCSF5kCCDg","2023-10-26T18:30:03Z","Forbes Breaking News","UCg40OxZ1GYh3u3jBntB6DLg"
"350","JmvcwBnZqhI","2023-10-26T03:18:48Z","WUSA9","UCcT6w3xUyVshyR2_2vrMp1w"
"351","UFC1UzRsrzA","2023-10-26T23:44:04Z","Queen City News","UC6YN4FNhAKN3MDO5DbJSnOA"
"352","JBox4cCDON4","2023-10-27T11:55:57Z","BOL News","UCz2yxQJZgiB_5elTzqV7FiQ"
"353","oDiRa-P5HH0","2023-10-30T19:45:01Z","TalkTV","UCm0yTweyAa0PwEIp0l3N_gA"
"354","K6wWDY9qERo","2023-10-31T00:06:35Z","GBNews","UC0vn8ISa4LKMunLbzaXLnOQ"
"355","41j5HZJXjZM","2023-11-01T00:31:18Z","16 WAPT News Jackson","UCq6jYgbPEh-lttcUsvPCbsg"
"356","L52TwiAgJCA","2023-11-01T20:16:28Z","WHAS11","UCTvZcgH_rsvaGuZ8mU5jpnA"
"357","mcBnpdEya7Q","2023-11-04T05:28:18Z","CBS News Sacramento","UCxZMOY2RdtK6LQUbIYgec4A"
"358","AbN2vPt2ZQ8","2023-11-05T11:09:06Z","Sky News Australia","UCO0akufu9MOzyz3nvGIXAAw"
"359","RVDClATHoiA","2023-11-06T11:14:19Z","Oneindia News","UCqTa3sNT6SfiQ2DQK_kuWlA"
"360","1ieDFbWZ3tI","2023-11-06T11:09:51Z","PuthiyathalaimuraiTV","UCmyKnNRH0wH-r8I-ceP-dsg"
"361","kfg9SeBEkF8","2023-11-06T22:16:41Z","WFAA","UCBu0KdNokE4MqdkacvH37_A"
"362","Eh_Waqy1fHI","2023-11-06T22:29:20Z","GBNews","UC0vn8ISa4LKMunLbzaXLnOQ"
"363","AiwfYJb_-Mc","2023-11-07T03:18:39Z","FOX 4 Dallas-Fort Worth","UCruQg25yVBppUWjza8AlyZA"
"364","BJjeWmjSzZo","2023-11-07T05:19:46Z","FOX 26 Houston","UC4OqEJz6oABzz_7nu29zF3A"
"365","y0D1jPEoRyU","2023-11-07T19:05:48Z","CBS News","UC8p1vwvWtl6T73JiExfWs1g"
"366","Mb3chfW0Ygk","2023-09-24T02:41:41Z","News Channel 3-12","UCRn7SebvQ6P_LDwjLxKegng"
"367","wP8-RYKn0eI","2023-09-24T22:34:20Z","WCNC","UC-RxXi2Xws6Uk22vp-sLbGA"
"368","JWvYV0wBf00","2023-09-25T09:30:10Z","TalkTV","UCm0yTweyAa0PwEIp0l3N_gA"
"369","RsHJRz3GkR0","2023-09-25T11:43:35Z","FOX 2 St. Louis","UClMs26ViHFMy7MS897Alcxw"
"370","vLlAyz2-a1E","2023-09-25T14:15:07Z","TalkTV","UCm0yTweyAa0PwEIp0l3N_gA"
"371","pVd5wH8hiTU","2023-09-25T13:44:07Z","FOX 26 Houston","UC4OqEJz6oABzz_7nu29zF3A"
"372","HyElATxdNzs","2023-09-25T16:19:36Z","WVLT News","UCDGjAh6DJ_DgpKiC3kFaPKg"
"373","c45Yppbyi4M","2023-09-25T14:30:55Z","KBZK Bozeman MT News","UCTzyhRW8LDZiKBIXfYU7dIQ"
"374","SYNJD_K4QhE","2023-09-25T21:53:17Z","13News Now","UCODc8Pa-_WUMaVRp9dvmNmw"
"375","YDOriXseOaQ","2023-09-26T10:15:04Z","News18 India","UCPP3etACgdUWvizcES1dJ8Q"
"376","L8RycyHkTdg","2023-09-26T20:01:36Z","13News Now","UCODc8Pa-_WUMaVRp9dvmNmw"
"377","3jDmIuKn2pc","2023-09-27T00:54:10Z","KUTV 2 News Salt Lake City","UCFVUStJ4azXbWMhFO4yTELg"
"378","V_MQW2gDQoQ","2023-09-27T11:37:37Z","FOX 2 St. Louis","UClMs26ViHFMy7MS897Alcxw"
"379","9SL2BSgMuJo","2023-09-27T10:33:40Z","KSDK News","UCVHTypjbrXH-maZaIkwweJA"
"380","hJ3LMOLm4G0","2023-09-27T12:18:21Z","13News Now","UCODc8Pa-_WUMaVRp9dvmNmw"
"381","KeNKzLo_Jhs","2023-09-27T03:34:25Z","13News Now","UCODc8Pa-_WUMaVRp9dvmNmw"
"382","oYeQbIScsyo","2023-09-28T08:00:21Z","Fox News","UCXIJgqnII2ZOINSWNOGFThA"
"383","EIdUzYuyyXU","2023-09-29T03:34:38Z","WJHL","UC1Gz1YkPBoLzQSBKbswBHAw"
"384","mmsvlSAdPnU","2023-09-29T23:26:29Z","KMTV 3 News Now","UC0duMiBZmDlbUue0eqd0htw"
"385","wf4cFgDcSTw","2023-09-30T09:53:10Z","WSMV 4 Nashville","UCW3Vc0gEOccJrQC-a25nGdg"
"386","vP58UjNo79c","2023-10-01T14:28:57Z","The Hill","UCPWXiRWZ29zrxPFIQT7eHSA"
"387","KGdpJTtijZk","2023-10-02T16:00:53Z","POLITICO","UCgjtvMmHXbutALaw9XzRkAg"
"388","Cg1Y3WX96mk","2023-10-02T11:39:40Z","NewsChannel 5","UCO6kzQ-7wcG0x8W5LpBA9RQ"
"389","Z6GmiXXUGbE","2023-10-02T21:39:45Z","My UP Now","UCeu77-k9p5XxpSMCVNPwLpA"
"390","X3hKNhjHRNU","2023-10-03T06:43:51Z","Sky News Australia","UCO0akufu9MOzyz3nvGIXAAw"
"391","n9ErN5Qe68M","2023-10-03T12:27:00Z","Sky News Australia","UCO0akufu9MOzyz3nvGIXAAw"
"392","sjk8tzRBck8","2023-10-03T15:06:32Z","The London Standard","UC7RQon_YwCnp_LbPtEwW65w"
"393","djYJOW7wGuo","2023-10-03T22:02:10Z","GBNews","UC0vn8ISa4LKMunLbzaXLnOQ"
"394","hcz8s7FIlOI","2023-10-04T07:00:30Z","Forbes Breaking News","UCg40OxZ1GYh3u3jBntB6DLg"
"395","hpTDD-kvoy4","2023-10-04T11:44:35Z","The Trump Report","UCTjDhFuGXlhx9Us0gq0VK2w"
"396","1icTPUwYbw0","2023-10-04T21:28:57Z","NBC4 Columbus","UCDFLiE2iGUvlZMmhemzy6eA"
"397","wb61f8R7RZQ","2023-10-05T10:41:19Z","GBNews","UC0vn8ISa4LKMunLbzaXLnOQ"
"398","eQ6e4dOCmIw","2023-10-05T15:30:18Z","The Institute of Art and Ideas","UCTsiZiMomJo6FOyiBaFeaIw"
"399","DzHUpGdLXD8","2023-10-05T15:24:01Z","The Indian Express","UCJEDFSxHHOW1PpBccdSxOTA"
"400","Jz_ydHt2FEY","2023-10-06T10:41:56Z","Times Now","UC6RJ7-PaXg6TIH2BzZfTV7w"
"401","mHo_XVu6UJg","2023-10-05T22:50:55Z","WSLS 10","UCaFgN6V43Xo1pRjQ4PjlSqw"
"402","pa3nT9MYL24","2023-10-06T15:59:13Z","WRAL","UCfmkz6A3aTJwJzox2xhAuRw"
"403","bj3gGIJTVxQ","2023-10-06T22:09:14Z","WSLS 10","UCaFgN6V43Xo1pRjQ4PjlSqw"
"404","ZnEGAla0-u4","2023-10-07T00:48:14Z","KTVU FOX 2 San Francisco","UCVhtkN7-c8mA8GXEoxS4YQw"
"405","SwgCIGvml2k","2023-10-07T03:12:02Z","WSLS 10","UCaFgN6V43Xo1pRjQ4PjlSqw"
"406","7IzvLsQhgHE","2023-10-07T05:30:02Z","MS NOW","UCaXkIU1QidjPwiAYu6GcHjg"
"407","Azh_7WWn1gU","Azh_7WWn1gU","Azh_7WWn1gU","Azh_7WWn1gU"
"408","NCKaray48ts","2023-09-10T20:23:00Z","CTV News","UCi7Zk9baY1tvdlgxIML8MXg"
"409","16JZdDLsQtQ","2023-09-11T12:02:42Z","Sky News Australia","UCO0akufu9MOzyz3nvGIXAAw"
"410","7XXHP5Scm-o","2023-09-11T12:00:05Z","TalkTV","UCm0yTweyAa0PwEIp0l3N_gA"
"411","kWSmYW6BoE0","2023-09-11T21:19:42Z","FOX40 News","UC64F2oovpjsxy06vTdrJG-g"
"412","3OQpmfDuU6M","2023-09-11T22:28:21Z","KSDK News","UCVHTypjbrXH-maZaIkwweJA"
"413","sBM8W69FEc0","2023-09-11T22:31:50Z","CityNews","UCVKAcQQCO8vv87Gk62SutAg"
"414","on8xoKkNtSk","2023-09-12T02:00:15Z","TMJ4 News","UCKdALw0BErtqmGI2AUtbbhg"
"415","iI8yJNIQZ9o","2023-09-12T10:56:31Z","KSDK News","UCVHTypjbrXH-maZaIkwweJA"
"416","4jCzNFi4Ha8","2023-09-12T00:24:41Z","6abc Philadelphia","UCw77677G3EAODp61b0izs7w"
"417","ITAcruOxk84","2023-09-12T15:03:07Z","CBN News","UCYI_ychRnL7sJrG6PUSBpQA"
"418","paQEz25OM9s","2023-09-12T01:30:12Z","Arizona’s Family (3TV / CBS 5) ","UCIrgpHvUm1FMtv-C1xwkJtw"
"419","wcip1s4107U","2023-09-12T01:40:31Z","CHCH News","UCjkETDTi-OBxrN4z5lvaL5A"
"420","Thm4JIkJQW0","2023-09-13T03:29:18Z","WAVY TV 10","UC5DOK_H_fkhHBw_7pl0TViQ"
"421","payOwl12k2Y","2023-09-13T18:29:42Z","WQAD News 8","UCRlWXcripH3oV_v6uSb9ASw"
"422","p7thfjGt1J0","2023-09-13T18:28:10Z","KTSM 9 NEWS","UCmZJz1J64RD7Ur7tI09s-FA"
"423","vqhhvxlEmmk","2023-09-14T09:35:05Z","Sky News","UCoMdktPbSTixAyNGwb-UYkQ"
"424","5ilrX_DgKjw","2023-09-14T21:24:37Z","KETV NewsWatch 7","UCczdiIilpYSmiF074WMCNiA"
"425","1MSsrs0bnwM","2023-09-15T00:13:29Z","KCRA 3","UC-BSVXejMFhhml4V_VyoGxg"
"426","XrkG2LM5egE","2023-09-14T19:45:01Z","TalkTV","UCm0yTweyAa0PwEIp0l3N_gA"
"427","lMnRGACyQjc","2023-09-15T05:19:35Z","KCRA 3","UC-BSVXejMFhhml4V_VyoGxg"
"428","Ut8W_3_xoEA","2023-09-15T06:05:58Z","CBS 8 San Diego","UCMscWako8oDvpdF4pppku-g"
"429","A3W9oUCePkw","2023-09-15T14:18:46Z","CBS New York","UCNZyLULUQBp5e9Q1cKtvk6Q"
"430","C36v95VRHFI","2023-09-16T05:00:04Z","ABC 10 News","UCQv44qD9R5Ae6Z3iUeZm7iQ"
"431","7pTtM_2uxUU","2023-09-17T04:28:43Z","WSMV 4 Nashville","UCW3Vc0gEOccJrQC-a25nGdg"
"432","CyiVuD6JSHs","2023-09-17T10:10:43Z","Sky News Australia","UCO0akufu9MOzyz3nvGIXAAw"
"433","h-kkFahpumM","2023-09-17T16:46:56Z","GBNews","UC0vn8ISa4LKMunLbzaXLnOQ"
"434","Drhmh8rTZkg","2023-09-17T22:08:14Z","CityNews","UCVKAcQQCO8vv87Gk62SutAg"
"435","PvQ4olD1-Gs","2023-09-18T17:38:21Z","23ABC News | KERO","UCaWhMr24lXlBatWGMh9yAdg"
"436","76y0J5ut3Qk","2023-09-18T22:45:54Z","WNEM TV5","UCmi4tHXXktvPxxcvfi2vpLQ"
"437","Yu5hpbNyTNE","2023-09-19T16:37:56Z","Channels Television","UCEXGDNclvmg6RW0vipJYsTQ"
"438","bHRHCGppBa8","2023-09-20T04:38:18Z","AP Archive","UCHTK-2W11Vh1V4uwofOfR4w"
"439","RAuq-oJWM74","2023-09-19T22:41:13Z","JoyNews","UChd1DEecCRlxaa0-hvPACCw"
"440","Sd-dIlmsK-g","2023-09-20T10:41:13Z","CBS TEXAS","UCxMXl9L79X1Mq_4iwCOyPFg"
"441","AFoga3U3agY","2023-09-20T17:51:32Z","CBC News","UCuFFtHWoLl5fauMMD5Ww2jA"
"442","P81wRUX43yk","2023-09-20T21:34:23Z","CityNews","UCVKAcQQCO8vv87Gk62SutAg"
"443","KI-4apesXZg","2023-09-20T21:40:18Z","Toronto Sun","UCkjNuLzfw5Ep7EJuMdeFylw"
"444","sKFF3OESxoE","2023-09-20T20:55:34Z","CTV News","UCi7Zk9baY1tvdlgxIML8MXg"
"445","z0fcW0coJEk","2023-09-20T22:44:55Z","CityNews","UCVKAcQQCO8vv87Gk62SutAg"
"446","4JLC2RWMY4g","2023-09-20T17:28:00Z","CBS TEXAS","UCxMXl9L79X1Mq_4iwCOyPFg"
"447","D4GuYy0DoH0","2023-09-21T01:18:23Z","CHCH News","UCjkETDTi-OBxrN4z5lvaL5A"
"448","3yfrC80hTdw","2023-09-21T02:31:54Z","CBC British Columbia","UCiKE6mqbKmGGlNAtccn04MA"
