"","EntryPublished","the_day","year","month","video_ID","posted_on_YT","channel name","yt_long_ID","EntryTitle","EntryURL","keyword","region","RSS"
"27","January 23, 2023 at 07:04PM","2023-01-23",2023,1,"_w_SaS3jQu4","2023-01-23T19:50:49Z","The Hill","UCPWXiRWZ29zrxPFIQT7eHSA","Should Teachers REPORT Transgender Students To Their Parents?: Batya, Robby, & Ameshia","https://www.youtube.com/watch?v=_w_SaS3jQu4","transgender","all regions",1916116072231156224
"28","January 23, 2023 at 08:09PM","2023-01-23",2023,1,"_w_SaS3jQu4","2023-01-23T19:50:49Z","The Hill","UCPWXiRWZ29zrxPFIQT7eHSA","Should Teachers REPORT Transgender Students To Their Parents?: Batya, Robby, & Ameshia","https://www.youtube.com/watch?v=_w_SaS3jQu4","transgender","USA",11193014132467406848
"29","September 03, 2023 at 11:51AM","2023-09-03",2023,9,"_X13qvMlpi0","2023-09-03T15:48:42Z","CBS Colorado","UC_-gT7OYiRCK9Sp8SIv9WgQ","Community works to keep Philip S. Miller's name on Castle Rock Library - YouTube","https://www.youtube.com/watch?v=_X13qvMlpi0","gender identity","USA",4028362110021709824
"30","July 03, 2023 at 07:26AM","2023-07-03",2023,7,"_xNlmmZ18JI","2023-07-02T17:00:00Z","Still Watching Netflix","UCGie8GMlUo3kBKIopdvumVQ","Luffy Meets Luffy! Cast Reaction | One Piece | Netflix - YouTube","https://www.youtube.com/watch?v=_xNlmmZ18JI","gender ideology","all regions",8717893479030415360
"31","November 26, 2023 at 01:57PM","2023-11-26",2023,11,"_XrOonxigfQ","2023-11-26T15:06:23Z","GBNews","UC0vn8ISa4LKMunLbzaXLnOQ","SNP defector reveals she is living behind reinforced front door following sickening threats","https://www.youtube.com/watch?v=_XrOonxigfQ","gender identity","all regions",14792114867614312448
"32","August 07, 2023 at 05:29PM","2023-08-07",2023,8,"_xyb1XReaSs","2023-08-07T21:28:26Z","Access Hollywood","UCiKGMZZmZXK-RpbKJGXgH3Q","Ne-Yo Apologizes To LGBTQI+ Community For 'Insensitive' Comments On Gender Identity ...","https://www.youtube.com/watch?v=_xyb1XReaSs","gender identity","USA",4028362110021709824
"33","August 07, 2023 at 05:29PM","2023-08-07",2023,8,"_xyb1XReaSs","2023-08-07T21:28:26Z","Access Hollywood","UCiKGMZZmZXK-RpbKJGXgH3Q","Ne-Yo Apologizes To LGBTQI+ Community For 'Insensitive' Comments On Gender Identity ...","https://www.youtube.com/watch?v=_xyb1XReaSs","gender identity","all regions",14792114867614312448
"34","August 22, 2023 at 05:40PM","2023-08-22",2023,8,"_yOJNqEoHQ0","2023-08-22T14:45:03Z","Newsmax","UCx6h-dWzJ5NpAlja1YsApdg","California mom lost her job due to opposing sexual ideology in schools - YouTube","https://www.youtube.com/watch?v=_yOJNqEoHQ0","gender ideology","all regions",8717893479030415360
"35","April 19, 2023 at 10:37PM","2023-04-19",2023,4,"_YyTpCaNNCc","2023-04-20T02:37:03Z","WESH 2 News","UCD9nZ3qeRGbPuHJaJduiQxA","Florida Board of Education bans discussions on sexual orientation, gender identity through 12th g...","https://www.youtube.com/watch?v=_YyTpCaNNCc","gender identity","all regions",14792114867614312448
"36","April 19, 2023 at 10:37PM","2023-04-19",2023,4,"_YyTpCaNNCc","2023-04-20T02:37:03Z","WESH 2 News","UCD9nZ3qeRGbPuHJaJduiQxA","Florida Board of Education bans discussions on sexual orientation, gender identity through 12th g...","https://www.youtube.com/watch?v=_YyTpCaNNCc","gender identity","USA",4028362110021709824
