"","year","pullURL","url_stub","country","publication","pubdate","articleID"
"79",2025,"pressreader.com","india/the-hindu-bangalore-9WW1/20251103/281586656845300","india","the hindu bangalore 9WW1","20251103","281586656845300"
"80",2025,"pressreader.com","india/the-hindu-delhi-9WW5/20251130/281505052522304","india","the hindu delhi 9WW5","20251130","281505052522304"
"81",2025,"pressreader.com","india/the-hindu-delhi-9WW5/20250804/281612426465550","india","the hindu delhi 9WW5","20250804","281612426465550"
"82",2025,"pressreader.com","india/the-hindu-erode-9WW6/20251103/281900189457902","india","the hindu erode 9WW6","20251103","281900189457902"
"83",2025,"pressreader.com","india/the-hindu-erode-9WW6/20251103/282389815729646","india","the hindu erode 9WW6","20251103","282389815729646"
"84",2025,"pressreader.com","india/the-hindu-international-9BN2/20250324/281895894036255","india","the hindu international 9BN2","20250324","281895894036255"
"85",2026,"pressreader.com","india/the-hindu-kochi-9ww8/20260208/282059103440913","india","the hindu kochi 9ww8","20260208","282059103440913"
"86",2025,"pressreader.com","india/the-hindu-kozhikode-9WWA/20251201/281590951869782","india","the hindu kozhikode 9WWA","20251201","281590951869782"
"87",2025,"pressreader.com","india/the-hindu-kozhikode-9WWA/20251201/281590951869782","india","the hindu kozhikode 9WWA","20251201","281590951869782"
"88",2025,"pressreader.com","india/the-hindu-mumbai-9WWd/20251130/281852944873295","india","the hindu mumbai 9WWd","20251130","281852944873295"
"89",2026,"pressreader.com","india/the-hindu-mumbai-9wwd/20260208/281981794029584","india","the hindu mumbai 9wwd","20260208","281981794029584"
"90",2025,"pressreader.com","india/the-hindu-thiruvananthapuram-9WWe/20250817/281694030870147","india","the hindu thiruvananthapuram 9WWe","20250817","281694030870147"
"91",2025,"pressreader.com","india/the-hindu-thiruvananthapuram-9WWe/20250601/282381225481208","india","the hindu thiruvananthapuram 9WWe","20250601","282381225481208"
"92",2026,"pressreader.com","india/the-hindu-thiruvananthapuram-9wwe/20260208/282029038669838","india","the hindu thiruvananthapuram 9wwe","20260208","282029038669838"
"93",2026,"pressreader.com","india/the-hindu-thiruvananthapuram-9wwe/20260201/281994678916912","india","the hindu thiruvananthapuram 9wwe","20260201","281994678916912"
"94",2026,"pressreader.com","india/the-hindu-visakhapatnam-9wwh/20260201/281968909113134","india","the hindu visakhapatnam 9wwh","20260201","281968909113134"
"95",2025,"pressreader.com","ireland/belfast-telegraph/20251209/281539412279004","ireland","belfast telegraph","20251209","281539412279004"
"96",2025,"pressreader.com","ireland/belfast-telegraph/20250911/281629606411395","ireland","belfast telegraph","20250911","281629606411395"
"97",2025,"pressreader.com","ireland/belfast-telegraph/20250722/281895894281288","ireland","belfast telegraph","20250722","281895894281288"
"98",2025,"pressreader.com","ireland/belfast-telegraph/20250628/282544434294001","ireland","belfast telegraph","20250628","282544434294001"
"99",2026,"pressreader.com","ireland/enniscorthy-guardian/20260107/281526527431833","ireland","enniscorthy guardian","20260107","281526527431833"
"100",2026,"pressreader.com","ireland/enniscorthy-guardian/20260107/281526527431833","ireland","enniscorthy guardian","20260107","281526527431833"
"101",2025,"pressreader.com","ireland/irish-central/20250329/281573771501851","ireland","irish central","20250329","281573771501851"
"102",2025,"pressreader.com","ireland/irish-central/20250329/281573771501851","ireland","irish central","20250329","281573771501851"
"103",2024,"pressreader.com","ireland/irish-central/20241214/281689735406216","ireland","irish central","20241214","281689735406216"
"104",2024,"pressreader.com","ireland/irish-central/20241016/281883008799326","ireland","irish central","20241016","281883008799326"
"105",2026,"pressreader.com","ireland/irish-daily-mail/20260127/281715506032025","ireland","irish daily mail","20260127","281715506032025"
"106",2026,"pressreader.com","ireland/irish-daily-mail/20260127/281715506032025","ireland","irish daily mail","20260127","281715506032025"
"107",2025,"pressreader.com","ireland/irish-daily-mail/20251006/281530822214018","ireland","irish daily mail","20251006","281530822214018"
"108",2025,"pressreader.com","ireland/irish-daily-mail/20250603/281681145815684","ireland","irish daily mail","20250603","281681145815684"
"109",2026,"pressreader.com","ireland/irish-daily-mail/20260206/281732685922425","ireland","irish daily mail","20260206","281732685922425"
"110",2025,"pressreader.com","ireland/irish-daily-mail/20251119/281578066943621","ireland","irish daily mail","20251119","281578066943621"
